CMDLINE C:\ProgramData\anaconda3\python.exe inference_test_2.py
MEM 429.335938 1714396739.7851
MEM 430.753906 1714396739.8919
MEM 432.046875 1714396740.0010
MEM 433.449219 1714396740.1079
MEM 435.132812 1714396740.2149
MEM 436.496094 1714396740.3219
MEM 438.152344 1714396740.4291
MEM 440.035156 1714396740.5361
MEM 441.527344 1714396740.6434
MEM 442.625000 1714396740.7514
MEM 442.625000 1714396740.8583
MEM 442.847656 1714396740.9663
MEM 442.847656 1714396741.0735
MEM 443.328125 1714396741.1815
MEM 443.429688 1714396741.2885
MEM 444.960938 1714396741.3955
MEM 446.402344 1714396741.5026
MEM 447.796875 1714396741.6103
MEM 449.500000 1714396741.7173
MEM 450.640625 1714396741.8252
MEM 452.265625 1714396741.9318
MEM 453.699219 1714396742.0403
MEM 455.179688 1714396742.1474
MEM 456.648438 1714396742.2543
MEM 457.988281 1714396742.3626
MEM 459.261719 1714396742.4696
MEM 460.714844 1714396742.5778
MEM 462.132812 1714396742.6848
MEM 463.375000 1714396742.7944
MEM 463.308594 1714396742.9020
MEM 463.394531 1714396743.0094
MEM 463.476562 1714396743.1184
MEM 463.566406 1714396743.2251
MEM 464.781250 1714396743.3321
MEM 466.324219 1714396743.4392
MEM 467.773438 1714396743.5498
MEM 468.773438 1714396743.6567
MEM 470.105469 1714396743.7647
MEM 471.503906 1714396743.8720
MEM 472.722656 1714396743.9804
MEM 474.386719 1714396744.0876
MEM 476.121094 1714396744.1946
MEM 477.523438 1714396744.3015
MEM 479.011719 1714396744.4095
MEM 480.324219 1714396744.5166
MEM 481.726562 1714396744.6236
MEM 483.046875 1714396744.7317
MEM 483.410156 1714396744.8401
MEM 483.410156 1714396744.9517
MEM 483.585938 1714396745.0615
MEM 483.585938 1714396745.1695
MEM 483.855469 1714396745.2780
MEM 484.972656 1714396745.3860
MEM 486.363281 1714396745.4930
MEM 487.718750 1714396745.5994
MEM 488.933594 1714396745.7069
MEM 490.363281 1714396745.8139
MEM 491.703125 1714396745.9206
MEM 492.863281 1714396746.0290
MEM 494.226562 1714396746.1360
MEM 496.136719 1714396746.2441
MEM 497.335938 1714396746.3513
MEM 498.808594 1714396746.4583
MEM 500.214844 1714396746.5658
MEM 501.691406 1714396746.6729
MEM 502.894531 1714396746.7830
MEM 503.554688 1714396746.8910
MEM 503.554688 1714396746.9989
MEM 503.667969 1714396747.1069
FUNC __main__.cond_param_analysis 280.4648 1714396723.2167 395.2812 1714396748.1453 0
MEM 503.667969 1714396747.2148
MEM 504.664062 1714396747.3219
MEM 506.250000 1714396747.4298
MEM 507.453125 1714396747.5362
MEM 508.800781 1714396747.6432
MEM 510.261719 1714396747.7508
MEM 511.773438 1714396747.8585
MEM 512.937500 1714396747.9659
MEM 466.011719 1714396748.0723
MEM 395.421875 1714396748.1803
MEM 395.332031 1714396748.2892
MEM 395.347656 1714396748.3968
MEM 388.585938 1714396748.5038
