CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_32_simulator.py
MEM 1.617188 1715191599.0919
MEM 17.457031 1715191599.1936
MEM 25.304688 1715191599.2946
MEM 31.457031 1715191599.3954
MEM 37.718750 1715191599.4961
MEM 43.347656 1715191599.5971
MEM 49.117188 1715191599.6976
MEM 60.234375 1715191599.7985
MEM 81.792969 1715191599.8995
MEM 94.832031 1715191600.0005
MEM 116.695312 1715191600.1016
MEM 129.585938 1715191600.2025
MEM 141.214844 1715191600.3035
MEM 148.429688 1715191600.4045
MEM 152.121094 1715191600.5047
MEM 156.769531 1715191600.6057
MEM 163.953125 1715191600.7065
MEM 168.898438 1715191600.8078
MEM 177.421875 1715191600.9081
MEM 183.003906 1715191601.0088
MEM 188.714844 1715191601.1093
MEM 193.136719 1715191601.2103
MEM 197.765625 1715191601.3113
MEM 198.253906 1715191601.4118
MEM 202.382812 1715191601.5124
MEM 208.113281 1715191601.6131
MEM 212.054688 1715191601.7140
MEM 217.812500 1715191601.8149
MEM 224.148438 1715191601.9159
MEM 229.679688 1715191602.0169
MEM 234.519531 1715191602.1176
MEM 260.929688 1715191602.2186
MEM 275.078125 1715191602.3189
MEM 279.917969 1715191602.4197
MEM 282.222656 1715191602.5200
MEM 286.484375 1715191602.6210
MEM 289.769531 1715191602.7217
MEM 291.488281 1715191602.8227
MEM 292.007812 1715191602.9237
MEM 292.441406 1715191603.0246
MEM 292.914062 1715191603.1257
MEM 293.320312 1715191603.2267
MEM 293.589844 1715191603.3274
MEM 294.000000 1715191603.4283
MEM 294.328125 1715191603.5289
MEM 294.679688 1715191603.6299
MEM 294.835938 1715191603.7305
MEM 295.261719 1715191603.8316
MEM 295.500000 1715191603.9322
MEM 296.152344 1715191604.0332
MEM 296.363281 1715191604.1341
MEM 296.699219 1715191604.2352
MEM 296.917969 1715191604.3362
MEM 297.113281 1715191604.4372
MEM 297.707031 1715191604.5375
MEM 298.351562 1715191604.6385
MEM 298.699219 1715191604.7394
MEM 298.984375 1715191604.8402
MEM 299.992188 1715191604.9409
MEM 303.136719 1715191605.0419
MEM 303.363281 1715191605.1423
MEM 303.683594 1715191605.2430
MEM 303.859375 1715191605.3436
MEM 304.054688 1715191605.4443
MEM 304.515625 1715191605.5449
MEM 304.726562 1715191605.6452
MEM 305.304688 1715191605.7457
MEM 308.480469 1715191605.8464
MEM 312.859375 1715191605.9475
MEM 318.140625 1715191606.0484
MEM 319.937500 1715191606.1494
MEM 320.050781 1715191606.2505
MEM 320.582031 1715191606.3514
MEM 320.703125 1715191606.4525
MEM 321.265625 1715191606.5535
MEM 321.406250 1715191606.6545
MEM 321.875000 1715191606.7556
MEM 322.054688 1715191606.8567
MEM 322.535156 1715191606.9576
MEM 322.859375 1715191607.0585
MEM 323.250000 1715191607.1594
MEM 323.621094 1715191607.2605
MEM 313.843750 1715191607.3614
MEM 314.195312 1715191607.4625
MEM 314.523438 1715191607.5634
MEM 314.835938 1715191607.6645
MEM 315.152344 1715191607.7654
MEM 315.355469 1715191607.8665
MEM 316.050781 1715191607.9674
MEM 316.472656 1715191608.0684
MEM 316.789062 1715191608.1694
MEM 317.218750 1715191608.2704
MEM 317.605469 1715191608.3714
MEM 317.824219 1715191608.4718
MEM 318.472656 1715191608.5727
MEM 318.851562 1715191608.6737
MEM 319.085938 1715191608.7747
MEM 319.207031 1715191608.8750
MEM 319.722656 1715191608.9759
MEM 320.078125 1715191609.0765
MEM 320.460938 1715191609.1777
MEM 321.148438 1715191609.2787
MEM 321.378906 1715191609.3795
MEM 321.843750 1715191609.4805
MEM 322.347656 1715191609.5816
MEM 323.042969 1715191609.6821
MEM 323.246094 1715191609.7827
MEM 324.355469 1715191609.8837
MEM 325.406250 1715191609.9844
MEM 328.222656 1715191610.0850
MEM 330.398438 1715191610.1857
MEM 331.054688 1715191610.2868
MEM 331.261719 1715191610.3873
MEM 331.648438 1715191610.4883
MEM 332.113281 1715191610.5894
MEM 330.453125 1715191610.6901
MEM 331.464844 1715191610.7910
MEM 332.113281 1715191610.8921
MEM 332.566406 1715191610.9931
MEM 332.914062 1715191611.0937
MEM 332.945312 1715191611.1947
MEM 335.035156 1715191611.2957
MEM 335.703125 1715191611.3967
MEM 337.246094 1715191611.4977
MEM 337.761719 1715191611.5987
MEM 338.328125 1715191611.6996
MEM 338.636719 1715191611.8007
MEM 339.433594 1715191611.9013
MEM 339.804688 1715191612.0022
MEM 340.136719 1715191612.1033
MEM 340.515625 1715191612.2042
MEM 341.164062 1715191612.3047
MEM 341.960938 1715191612.4053
MEM 342.585938 1715191612.5058
MEM 342.660156 1715191612.6061
MEM 343.480469 1715191612.7066
MEM 343.882812 1715191612.8071
MEM 352.121094 1715191612.9081
MEM 352.468750 1715191613.0088
MEM 352.625000 1715191613.1098
MEM 352.679688 1715191613.2109
MEM 352.781250 1715191613.3120
MEM 352.984375 1715191613.4130
MEM 353.332031 1715191613.5141
MEM 353.742188 1715191613.6150
MEM 354.296875 1715191613.7160
MEM 354.753906 1715191613.8172
MEM 355.312500 1715191613.9182
MEM 355.566406 1715191614.0187
MEM 355.703125 1715191614.1193
MEM 356.480469 1715191614.2203
MEM 357.191406 1715191614.3210
MEM 357.558594 1715191614.4220
MEM 357.742188 1715191614.5226
MEM 358.750000 1715191614.6232
MEM 359.246094 1715191614.7239
MEM 360.343750 1715191614.8246
MEM 361.035156 1715191614.9252
MEM 361.488281 1715191615.0259
MEM 362.128906 1715191615.1265
MEM 367.941406 1715191615.2271
MEM 368.156250 1715191615.3277
MEM 368.566406 1715191615.4284
MEM 369.093750 1715191615.5287
MEM 369.652344 1715191615.6297
MEM 370.089844 1715191615.7309
MEM 370.351562 1715191615.8314
MEM 373.828125 1715191615.9320
MEM 370.355469 1715191616.0331
MEM 370.628906 1715191616.1341
MEM 371.082031 1715191616.2352
MEM 371.671875 1715191616.3357
MEM 372.199219 1715191616.4367
MEM 372.906250 1715191616.5377
MEM 373.492188 1715191616.6387
MEM 374.378906 1715191616.7397
MEM 374.593750 1715191616.8408
MEM 375.011719 1715191616.9412
MEM 376.187500 1715191617.0419
MEM 376.628906 1715191617.1426
MEM 376.656250 1715191617.2435
MEM 377.437500 1715191617.3442
MEM 376.679688 1715191617.4449
MEM 377.125000 1715191617.5456
MEM 377.652344 1715191617.6463
MEM 377.789062 1715191617.7468
MEM 378.000000 1715191617.8475
MEM 378.484375 1715191617.9482
MEM 379.136719 1715191618.0489
MEM 379.453125 1715191618.1499
MEM 379.519531 1715191618.2511
MEM 379.925781 1715191618.3517
MEM 380.304688 1715191618.4523
MEM 380.917969 1715191618.5530
MEM 381.281250 1715191618.6537
MEM 381.585938 1715191618.7543
MEM 382.636719 1715191618.8550
MEM 383.195312 1715191618.9557
MEM 383.878906 1715191619.0564
MEM 383.917969 1715191619.1569
MEM 384.507812 1715191619.2574
MEM 385.281250 1715191619.3580
MEM 385.671875 1715191619.4587
MEM 386.750000 1715191619.5594
MEM 386.894531 1715191619.6604
MEM 387.160156 1715191619.7608
MEM 388.261719 1715191619.8618
MEM 388.730469 1715191619.9628
MEM 389.492188 1715191620.0640
MEM 390.054688 1715191620.1650
MEM 390.179688 1715191620.2661
MEM 391.042969 1715191620.3672
MEM 391.816406 1715191620.4682
MEM 392.527344 1715191620.5689
MEM 393.589844 1715191620.6695
MEM 393.589844 1715191620.7705
MEM 393.890625 1715191620.8715
MEM 394.152344 1715191620.9726
MEM 394.609375 1715191621.0732
MEM 396.175781 1715191621.1742
MEM 396.691406 1715191621.2752
MEM 397.824219 1715191621.3763
MEM 398.140625 1715191621.4772
MEM 398.324219 1715191621.5783
MEM 399.000000 1715191621.6793
MEM 399.812500 1715191621.7799
MEM 400.816406 1715191621.8806
MEM 401.406250 1715191621.9809
MEM 401.414062 1715191622.0820
MEM 402.121094 1715191622.1825
MEM 402.894531 1715191622.2832
MEM 403.484375 1715191622.3839
MEM 404.089844 1715191622.4846
MEM 404.093750 1715191622.5849
MEM 404.871094 1715191622.6855
MEM 405.296875 1715191622.7862
MEM 406.210938 1715191622.8869
MEM 406.398438 1715191622.9874
MEM 406.808594 1715191623.0881
MEM 407.730469 1715191623.1888
MEM 408.398438 1715191623.2895
MEM 409.214844 1715191623.3904
MEM 409.214844 1715191623.4914
MEM 409.582031 1715191623.5925
MEM 410.687500 1715191623.6935
MEM 411.253906 1715191623.7945
MEM 412.441406 1715191623.8955
MEM 412.578125 1715191623.9965
MEM 412.792969 1715191624.0976
MEM 413.457031 1715191624.1982
MEM 413.457031 1715191624.2987
MEM 413.671875 1715191624.3992
MEM 413.722656 1715191624.5003
MEM 413.777344 1715191624.6010
MEM 414.082031 1715191624.7015
MEM 414.273438 1715191624.8022
MEM 415.093750 1715191624.9029
MEM 415.632812 1715191625.0036
MEM 416.253906 1715191625.1043
MEM 417.156250 1715191625.2049
MEM 417.609375 1715191625.3055
MEM 417.777344 1715191625.4061
MEM 418.750000 1715191625.5068
MEM 419.312500 1715191625.6075
MEM 419.945312 1715191625.7082
MEM 420.382812 1715191625.8089
MEM 420.785156 1715191625.9096
MEM 421.765625 1715191626.0103
MEM 422.214844 1715191626.1110
MEM 423.203125 1715191626.2113
MEM 423.328125 1715191626.3117
MEM 423.531250 1715191626.4121
MEM 424.109375 1715191626.5128
MEM 425.011719 1715191626.6131
MEM 425.500000 1715191626.7136
MEM 425.500000 1715191626.8141
MEM 426.320312 1715191626.9150
MEM 427.152344 1715191627.0151
MEM 427.992188 1715191627.1161
MEM 428.773438 1715191627.2168
MEM 429.554688 1715191627.3171
MEM 429.644531 1715191627.4179
MEM 430.160156 1715191627.5189
MEM 431.191406 1715191627.6199
MEM 431.707031 1715191627.7210
MEM 432.203125 1715191627.8219
MEM 432.203125 1715191627.9229
MEM 433.203125 1715191628.0233
MEM 433.789062 1715191628.1243
MEM 433.789062 1715191628.2253
MEM 433.984375 1715191628.3258
MEM 434.105469 1715191628.4263
MEM 434.105469 1715191628.5273
MEM 434.613281 1715191628.6280
MEM 435.683594 1715191628.7287
MEM 436.316406 1715191628.8294
MEM 437.363281 1715191628.9301
MEM 437.882812 1715191629.0307
MEM 438.003906 1715191629.1313
MEM 438.210938 1715191629.2320
MEM 438.972656 1715191629.3327
MEM 439.558594 1715191629.4331
MEM 440.410156 1715191629.5333
MEM 440.738281 1715191629.6344
MEM 440.910156 1715191629.7353
MEM 441.695312 1715191629.8364
MEM 442.535156 1715191629.9373
MEM 443.617188 1715191630.0383
MEM 443.851562 1715191630.1393
MEM 443.941406 1715191630.2404
MEM 444.769531 1715191630.3414
MEM 445.589844 1715191630.4421
MEM 446.460938 1715191630.5424
MEM 446.714844 1715191630.6433
MEM 446.714844 1715191630.7443
MEM 447.964844 1715191630.8450
MEM 448.851562 1715191630.9456
MEM 449.917969 1715191631.0463
MEM 450.355469 1715191631.1474
MEM 450.906250 1715191631.2484
MEM 450.906250 1715191631.3491
MEM 451.257812 1715191631.4498
MEM 452.214844 1715191631.5505
MEM 453.035156 1715191631.6516
MEM 453.195312 1715191631.7526
MEM 453.195312 1715191631.8537
MEM 453.523438 1715191631.9546
MEM 453.722656 1715191632.0558
MEM 454.156250 1715191632.1567
MEM 454.378906 1715191632.2577
MEM 454.835938 1715191632.3586
MEM 455.984375 1715191632.4595
MEM 456.539062 1715191632.5605
MEM 457.335938 1715191632.6612
MEM 457.484375 1715191632.7615
MEM 457.484375 1715191632.8627
MEM 458.296875 1715191632.9633
MEM 459.039062 1715191633.0640
MEM 460.074219 1715191633.1650
MEM 460.585938 1715191633.2654
MEM 460.585938 1715191633.3660
MEM 460.917969 1715191633.4668
MEM 461.960938 1715191633.5673
MEM 462.937500 1715191633.6678
MEM 465.386719 1715191633.7685
MEM 465.386719 1715191633.8692
MEM 465.976562 1715191633.9699
MEM 466.976562 1715191634.0706
MEM 467.386719 1715191634.1717
MEM 468.605469 1715191634.2724
MEM 468.613281 1715191634.3731
MEM 468.789062 1715191634.4736
MEM 469.300781 1715191634.5741
MEM 470.394531 1715191634.6747
MEM 471.003906 1715191634.7752
MEM 471.605469 1715191634.8759
MEM 471.605469 1715191634.9766
MEM 472.304688 1715191635.0773
MEM 472.957031 1715191635.1780
MEM 473.488281 1715191635.2786
MEM 474.035156 1715191635.3797
MEM 474.035156 1715191635.4807
MEM 474.097656 1715191635.5817
MEM 474.101562 1715191635.6824
MEM 474.593750 1715191635.7835
MEM 474.621094 1715191635.8845
MEM 475.242188 1715191635.9855
MEM 476.355469 1715191636.0860
MEM 477.109375 1715191636.1864
MEM 477.824219 1715191636.2875
MEM 479.117188 1715191636.3885
MEM 479.656250 1715191636.4890
MEM 479.656250 1715191636.5896
MEM 480.269531 1715191636.6906
MEM 481.363281 1715191636.7913
MEM 481.890625 1715191636.8920
MEM 483.050781 1715191636.9926
MEM 483.105469 1715191637.0937
MEM 483.304688 1715191637.1943
MEM 484.101562 1715191637.2951
MEM 484.542969 1715191637.3958
MEM 485.683594 1715191637.4965
MEM 486.171875 1715191637.5971
MEM 486.171875 1715191637.6978
MEM 486.476562 1715191637.7985
MEM 486.886719 1715191637.8996
MEM 487.273438 1715191638.0003
MEM 487.437500 1715191638.1010
MEM 487.527344 1715191638.2016
MEM 487.914062 1715191638.3023
MEM 488.738281 1715191638.4030
MEM 489.578125 1715191638.5041
MEM 490.519531 1715191638.6050
MEM 490.519531 1715191638.7060
MEM 490.777344 1715191638.8072
