CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_32_simulator.py
MEM 1.847656 1715193488.8267
MEM 18.738281 1715193488.9283
MEM 27.410156 1715193489.0291
MEM 33.972656 1715193489.1301
MEM 40.179688 1715193489.2311
MEM 46.980469 1715193489.3315
MEM 49.464844 1715193489.4320
MEM 52.585938 1715193489.5330
MEM 53.507812 1715193489.6341
MEM 53.507812 1715193489.7344
MEM 53.507812 1715193489.8348
MEM 53.507812 1715193489.9355
MEM 54.730469 1715193490.0365
MEM 78.050781 1715193490.1375
MEM 91.839844 1715193490.2385
MEM 109.757812 1715193490.3391
MEM 115.214844 1715193490.4399
MEM 122.714844 1715193490.5410
MEM 133.410156 1715193490.6419
MEM 133.523438 1715193490.7430
MEM 139.648438 1715193490.8439
MEM 144.195312 1715193490.9453
MEM 148.640625 1715193491.0459
MEM 152.015625 1715193491.1467
MEM 155.085938 1715193491.2473
MEM 161.496094 1715193491.3485
MEM 168.089844 1715193491.4495
MEM 177.332031 1715193491.5504
MEM 183.453125 1715193491.6514
MEM 189.890625 1715193491.7524
MEM 194.761719 1715193491.8534
MEM 197.199219 1715193491.9545
MEM 197.777344 1715193492.0550
MEM 198.406250 1715193492.1560
MEM 204.167969 1715193492.2563
MEM 208.300781 1715193492.3567
MEM 212.218750 1715193492.4577
MEM 216.296875 1715193492.5587
MEM 223.910156 1715193492.6594
MEM 227.425781 1715193492.7598
MEM 232.398438 1715193492.8609
MEM 237.164062 1715193492.9619
MEM 259.953125 1715193493.0628
MEM 272.171875 1715193493.1630
MEM 279.867188 1715193493.2640
MEM 280.097656 1715193493.3646
MEM 280.269531 1715193493.4654
MEM 280.507812 1715193493.5660
MEM 280.664062 1715193493.6664
MEM 280.750000 1715193493.7677
MEM 280.871094 1715193493.8688
MEM 280.992188 1715193493.9699
MEM 281.203125 1715193494.0714
MEM 281.480469 1715193494.1724
MEM 281.601562 1715193494.2734
MEM 282.023438 1715193494.3746
MEM 284.820312 1715193494.4753
MEM 287.902344 1715193494.5763
MEM 288.664062 1715193494.6772
MEM 289.281250 1715193494.7782
MEM 290.894531 1715193494.8791
MEM 291.195312 1715193494.9800
MEM 291.554688 1715193495.0811
MEM 291.996094 1715193495.1820
MEM 292.375000 1715193495.2827
MEM 292.730469 1715193495.3831
MEM 292.972656 1715193495.4832
MEM 293.441406 1715193495.5839
MEM 293.703125 1715193495.6844
