CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_16_simulator.py
MEM 1.765625 1715177269.0757
MEM 18.144531 1715177269.1767
MEM 27.609375 1715177269.2772
MEM 34.949219 1715177269.3782
MEM 40.878906 1715177269.4792
MEM 47.152344 1715177269.5802
MEM 51.222656 1715177269.6812
MEM 52.296875 1715177269.7821
MEM 52.667969 1715177269.8830
MEM 52.667969 1715177269.9840
MEM 52.667969 1715177270.0847
MEM 52.667969 1715177270.1857
MEM 52.667969 1715177270.2867
MEM 52.667969 1715177270.3878
MEM 59.867188 1715177270.4887
MEM 80.753906 1715177270.5894
MEM 93.218750 1715177270.6900
MEM 108.703125 1715177270.7907
MEM 115.332031 1715177270.8912
MEM 125.937500 1715177270.9918
MEM 132.945312 1715177271.0926
MEM 133.167969 1715177271.1931
MEM 139.425781 1715177271.2938
MEM 143.718750 1715177271.3949
MEM 148.457031 1715177271.4953
MEM 151.703125 1715177271.5964
MEM 155.921875 1715177271.6974
MEM 162.632812 1715177271.7985
MEM 168.527344 1715177271.8991
MEM 178.257812 1715177271.9998
MEM 183.359375 1715177272.1006
MEM 189.875000 1715177272.2013
MEM 192.457031 1715177272.3022
MEM 195.007812 1715177272.4033
MEM 197.417969 1715177272.5042
MEM 197.929688 1715177272.6052
MEM 201.890625 1715177272.7062
MEM 206.636719 1715177272.8072
MEM 210.121094 1715177272.9078
MEM 212.945312 1715177273.0084
MEM 217.785156 1715177273.1092
MEM 224.593750 1715177273.2095
MEM 228.207031 1715177273.3107
MEM 231.742188 1715177273.4109
MEM 236.714844 1715177273.5120
MEM 252.003906 1715177273.6124
MEM 270.316406 1715177273.7131
MEM 276.777344 1715177273.8141
MEM 279.000000 1715177273.9151
MEM 279.097656 1715177274.0163
MEM 279.406250 1715177274.1169
MEM 279.546875 1715177274.2174
MEM 279.656250 1715177274.3189
MEM 279.761719 1715177274.4195
MEM 279.968750 1715177274.5204
MEM 280.140625 1715177274.6208
MEM 280.324219 1715177274.7220
MEM 280.437500 1715177274.8225
MEM 280.570312 1715177274.9232
MEM 283.261719 1715177275.0243
MEM 284.207031 1715177275.1248
MEM 285.281250 1715177275.2254
MEM 286.582031 1715177275.3264
MEM 287.242188 1715177275.4274
MEM 288.007812 1715177275.5284
MEM 288.292969 1715177275.6294
MEM 288.343750 1715177275.7304
MEM 288.523438 1715177275.8309
MEM 289.058594 1715177275.9319
MEM 290.121094 1715177276.0324
MEM 290.781250 1715177276.1333
MEM 290.960938 1715177276.2340
MEM 291.472656 1715177276.3345
MEM 291.902344 1715177276.4350
MEM 293.300781 1715177276.5361
MEM 293.738281 1715177276.6368
MEM 293.902344 1715177276.7379
MEM 295.011719 1715177276.8389
MEM 295.292969 1715177276.9398
MEM 295.898438 1715177277.0409
MEM 296.929688 1715177277.1419
MEM 297.203125 1715177277.2428
MEM 298.019531 1715177277.3435
MEM 301.527344 1715177277.4445
MEM 301.703125 1715177277.5456
MEM 302.238281 1715177277.6465
MEM 302.644531 1715177277.7476
MEM 302.972656 1715177277.8479
MEM 303.468750 1715177277.9489
MEM 303.625000 1715177278.0498
MEM 311.125000 1715177278.1508
MEM 311.125000 1715177278.2517
MEM 316.550781 1715177278.3527
MEM 317.386719 1715177278.4537
MEM 318.453125 1715177278.5547
MEM 320.136719 1715177278.6557
MEM 308.621094 1715177278.7568
MEM 309.886719 1715177278.8576
MEM 314.992188 1715177278.9582
MEM 315.226562 1715177279.0592
MEM 315.812500 1715177279.1602
MEM 316.386719 1715177279.2612
MEM 316.562500 1715177279.3622
MEM 317.117188 1715177279.4633
MEM 317.562500 1715177279.5642
MEM 318.000000 1715177279.6649
MEM 318.371094 1715177279.7655
MEM 318.574219 1715177279.8665
MEM 319.183594 1715177279.9671
MEM 319.347656 1715177280.0676
MEM 319.804688 1715177280.1682
MEM 320.289062 1715177280.2690
MEM 320.441406 1715177280.3700
MEM 320.949219 1715177280.4711
MEM 321.109375 1715177280.5720
MEM 322.101562 1715177280.6731
MEM 322.906250 1715177280.7741
MEM 323.167969 1715177280.8751
MEM 323.945312 1715177280.9762
MEM 324.398438 1715177281.0774
