CMDLINE C:\ProgramData\anaconda3\python.exe conditionalserviceavailability_32_simulator.py
MEM 307.675781 1715190704.0369
MEM 307.757812 1715190704.1379
MEM 307.820312 1715190704.2386
MEM 307.929688 1715190704.3396
MEM 308.066406 1715190704.4406
MEM 314.984375 1715190704.5417
MEM 315.070312 1715190704.6422
MEM 315.140625 1715190704.7427
MEM 315.371094 1715190704.8437
MEM 315.445312 1715190704.9444
MEM 315.515625 1715190705.0449
MEM 315.613281 1715190705.1454
MEM 315.703125 1715190705.2465
MEM 315.777344 1715190705.3474
MEM 315.910156 1715190705.4484
MEM 316.003906 1715190705.5489
MEM 316.085938 1715190705.6498
MEM 316.210938 1715190705.7508
MEM 316.324219 1715190705.8519
MEM 316.371094 1715190705.9528
MEM 316.527344 1715190706.0540
MEM 316.636719 1715190706.1544
MEM 316.679688 1715190706.2551
MEM 316.812500 1715190706.3562
MEM 317.101562 1715190706.4568
MEM 317.144531 1715190706.5574
MEM 317.277344 1715190706.6580
MEM 317.414062 1715190706.7590
MEM 317.492188 1715190706.8597
MEM 317.636719 1715190706.9603
MEM 317.777344 1715190707.0611
MEM 317.843750 1715190707.1621
MEM 317.925781 1715190707.2631
MEM 318.039062 1715190707.3641
MEM 318.082031 1715190707.4651
MEM 318.218750 1715190707.5661
MEM 318.343750 1715190707.6671
MEM 318.386719 1715190707.7681
MEM 318.539062 1715190707.8691
MEM 318.675781 1715190707.9696
MEM 318.746094 1715190708.0701
MEM 318.875000 1715190708.1711
MEM 318.960938 1715190708.2716
MEM 318.992188 1715190708.3726
MEM 319.121094 1715190708.4736
MEM 319.250000 1715190708.5746
MEM 311.296875 1715190708.6756
MEM 311.421875 1715190708.7766
MEM 311.550781 1715190708.8771
MEM 311.605469 1715190708.9781
MEM 311.730469 1715190709.0791
MEM 311.867188 1715190709.1801
MEM 311.902344 1715190709.2812
MEM 312.054688 1715190709.3819
MEM 312.230469 1715190709.4826
MEM 312.230469 1715190709.5830
MEM 312.429688 1715190709.6840
MEM 312.562500 1715190709.7847
MEM 312.625000 1715190709.8854
MEM 314.738281 1715190709.9863
MEM 314.863281 1715190710.0870
MEM 314.945312 1715190710.1877
MEM 315.011719 1715190710.2884
MEM 315.121094 1715190710.3893
MEM 315.187500 1715190710.4900
MEM 315.308594 1715190710.5902
MEM 315.410156 1715190710.6913
MEM 315.503906 1715190710.7923
MEM 319.679688 1715190710.8933
MEM 319.851562 1715190710.9944
MEM 319.917969 1715190711.0953
MEM 320.066406 1715190711.1959
MEM 320.132812 1715190711.2970
MEM 320.187500 1715190711.3979
MEM 320.324219 1715190711.4989
MEM 320.425781 1715190711.6001
MEM 320.500000 1715190711.7010
MEM 320.625000 1715190711.8016
MEM 320.753906 1715190711.9022
MEM 320.796875 1715190712.0031
MEM 320.933594 1715190712.1041
MEM 321.066406 1715190712.2051
MEM 321.097656 1715190712.3061
MEM 321.226562 1715190712.4071
MEM 321.363281 1715190712.5082
MEM 321.445312 1715190712.6091
MEM 321.562500 1715190712.7101
MEM 321.671875 1715190712.8112
MEM 321.730469 1715190712.9116
MEM 321.847656 1715190713.0121
MEM 321.984375 1715190713.1133
MEM 322.035156 1715190713.2139
MEM 322.160156 1715190713.3144
MEM 322.292969 1715190713.4149
MEM 322.343750 1715190713.5154
MEM 322.464844 1715190713.6159
MEM 322.613281 1715190713.7164
MEM 322.648438 1715190713.8169
MEM 322.773438 1715190713.9174
MEM 322.910156 1715190714.0179
MEM 322.945312 1715190714.1184
MEM 323.078125 1715190714.2189
MEM 323.207031 1715190714.3194
MEM 323.292969 1715190714.4199
MEM 323.484375 1715190714.5209
MEM 323.496094 1715190714.6220
MEM 323.558594 1715190714.7230
MEM 323.628906 1715190714.8239
MEM 323.722656 1715190714.9249
MEM 323.847656 1715190715.0259
MEM 323.902344 1715190715.1270
MEM 324.019531 1715190715.2279
MEM 324.140625 1715190715.3285
MEM 324.253906 1715190715.4291
MEM 324.332031 1715190715.5300
MEM 324.492188 1715190715.6305
MEM 324.539062 1715190715.7310
MEM 324.671875 1715190715.8315
MEM 324.804688 1715190715.9320
MEM 324.941406 1715190716.0331
MEM 325.058594 1715190716.1342
MEM 325.187500 1715190716.2347
MEM 325.250000 1715190716.3354
MEM 325.339844 1715190716.4361
MEM 325.460938 1715190716.5368
MEM 325.570312 1715190716.6379
MEM 325.625000 1715190716.7388
MEM 325.757812 1715190716.8398
MEM 325.878906 1715190716.9408
MEM 325.921875 1715190717.0418
MEM 326.050781 1715190717.1428
MEM 326.191406 1715190717.2438
MEM 326.230469 1715190717.3449
MEM 326.359375 1715190717.4459
MEM 326.484375 1715190717.5466
MEM 326.531250 1715190717.6472
MEM 326.652344 1715190717.7482
MEM 326.789062 1715190717.8492
MEM 326.835938 1715190717.9502
MEM 326.960938 1715190718.0507
