num_sample,p_est,ci_low,ci_high
100,0.08,0.026301152477412153,0.17611435479231813
200,0.045,0.01585640835984023,0.09726375099092856
500,0.086,0.05678283784199836,0.12337971965002582
1000,0.067,0.048239722539252766,0.09000523482053371
2000,0.0625,0.049364565499735495,0.0777645849719408
5000,0.0708,0.061769392731987435,0.08065883504106074
10000,0.0692,0.06281919435848933,0.07599486176595861
20000,0.06695,0.06247625871431175,0.07163126708005746
50000,0.06854,0.06566056383206711,0.07150191509510985
